Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-19 16:27:51,2018-09-19 16:29:14,"1m - 22,554s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-19 16:27:52,2018-09-19 16:28:30,"38,240s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 16:27:52,2018-09-19 16:27:55,"3,324s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 16:27:55,2018-09-19 16:27:57,"1,738s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:27:57,2018-09-19 16:27:57,"0,365s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:27:57,2018-09-19 16:27:58,"0,136s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:27:58,2018-09-19 16:27:58,"0,109s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:27:58,2018-09-19 16:27:58,"0,409s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 16:27:58,2018-09-19 16:28:30,"31,862s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-19 16:28:30,2018-09-19 16:28:37,"6,626s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 16:28:30,2018-09-19 16:28:33,"3,087s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 16:28:33,2018-09-19 16:28:35,"1,798s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:28:35,2018-09-19 16:28:35,"0,344s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:28:35,2018-09-19 16:28:35,"0,134s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:28:35,2018-09-19 16:28:35,"0,136s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:28:35,2018-09-19 16:28:36,"0,401s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 16:28:36,2018-09-19 16:28:36,"0,073s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 16:28:36,2018-09-19 16:28:37,"0,639s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-19 16:28:37,2018-09-19 16:29:13,"36,721s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 16:28:37,2018-09-19 16:28:39,"2,176s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 16:28:39,2018-09-19 16:28:41,"1,775s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:28:41,2018-09-19 16:28:41,"0,348s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:28:41,2018-09-19 16:28:41,"0,118s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:28:41,2018-09-19 16:28:41,"0,105s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:28:41,2018-09-19 16:28:41,"0,380s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 16:28:41,2018-09-19 16:29:13,"31,811s",FAILED
